Rrs_blue,Rrs_green,Rrs_red,Rrs_nir,Chlorophyll_a
0.008116262258099888,0.027339710693032957,0.0017235440963605077,0.00788289570131065,1.2480968270835469
0.019063571821788406,0.0079472948293422,0.008438964841954071,0.0058048403724901484,0.5372620909829152
0.014907884894416697,0.005201951290645469,0.00856889170254149,0.004530109087846275,0.6496183458956798
0.012374511199743695,0.015194130048049325,0.00992401862097489,0.009110366658399992,0.9201599860958303
0.003964354168406294,0.02958386316920742,0.011165278672117262,0.0015563760819084377,3.9405497938310434
0.0039638958863878505,0.008019602873833511,0.014661929112475484,0.005179938490763161,1.511837604842844
0.00210358863119579,0.020491930874770477,0.008228204876216734,0.0006078596252904812,5.648412993775454
0.01745734676972377,0.023086968844532808,0.005521390621177443,0.0049522760989442,1.1823373598522926
0.012421185223120967,0.00789148877577959,0.01213260672676185,0.0010348811189774547,1.1641542649675605
0.014453378978124865,0.022118274109743926,0.004791651517669039,0.0016287702045466833,1.577822932290236
0.0013911053916202466,0.011665710848858344,0.007145599889878905,0.0016164993443824965,3.875771210579554
0.019428287191077892,0.019336869087213805,0.0020983893387917234,0.006667497870102604,0.7475057398215119
0.016816410175208015,0.019372361612065948,0.0013549104078164052,0.007587426353021521,0.8833134428747196
0.005034443102887247,0.016537465838167995,0.01447707780549095,0.006042003268423017,2.3100348374430593
0.004454674376934912,0.0036184033315778408,0.01270372168717088,0.009640639210508149,0.8462913202883635
0.004484685687215243,0.0252237723720879,0.010743638885311772,0.004061270505475188,2.7657942462012715
0.006780602616231216,0.010302621884180338,0.0067253412217997775,0.003214264819677677,1.3737726397603962
0.010970372201012518,0.006409036801595772,0.0034261204809918405,0.008751691717799872,0.1732342326367569
0.0092069553542002,0.0021824791050881536,0.0031901185973952045,0.0026241604659348002,0.20322960013315522
0.006533353663762796,0.018135895352459012,0.004503400574304334,0.009650614124685807,1.7039100322089855
0.01262520499972521,0.02064936649342619,0.008689173305885686,0.0006154675095532552,2.500638443047819
